ID	GENE	ENSEMBLE	TCGA_AML_FEMALE	TCGA_AML_MALE	TCGA_DEAD	TCGA_ALIVE	GTEX_BLOOD	GTEX_BLOOD_VESSEL	GTEX_BONE_MARROW	GTEX_MUSCLE			
CA-CA-7-122081499-122081595.375.0	AASS	XR_001744514.1	53.33333333	46.66666667	53.33333333	46.66666667	0.796812749	42.13333333	0	24.42105263	100		
CA-CA-16-8764737-8764830.260.0	ABAT	-	40	60	71.42857143	28.57142857	5.896414343	36.4	0	3.368421053	100		
CA-CA-9-104822495-104822667.49.0	ABCA1	-	47.82608696	52.17391304	63.04347826	36.95652174	1.513944223	32	0	21.26315789	100		
CA-CA-4-472574-472701.1908.3	ABCA11P	ENST00000451020.6	40.47619048	59.52380952	73.80952381	26.19047619	1.593625498	16.13333333	21.05263158	10.31578947	100		
CA-CS-7-48244575-48244703.68.0	ABCA13	XM_011515148.2	50	50	100	0	0.478087649	0	0	0	100		
CA-CA-16-2361115-2361200.1989.0	ABCA17P	ENST00000482286.5	37.5	62.5	62.5	37.5	1.115537849	26	49.12280702	20.21052632	100		
CA-CS-9-137018902-137019070.3.0	ABCA2	ENST00000470535.2	100	0	100	0	0	0.133333333	0	0	100		
CA-CS-16-2298385-2298540.11.0	ABCA3	NM_001089.2	47.61904762	52.38095238	61.9047619	38.0952381	2.470119522	41.46666667	49.12280702	24.63157895	100		
CA-CA-19-1058819-1058940.343.0	ABCA7	ENST00000263094.10	46.49681529	53.50318471	66.24203822	33.75796178	7.729083665	33.86666667	49.12280702	24.63157895	100		
CA-CS-7-87544822-87544999.355.0	ABCB1	-	40.38461538	59.61538462	69.23076923	30.76923077	1.992031873	8.8	0	0	100		
CA-CA-1-229542236-229542371.441.0	ABCB10	-	45.61403509	54.38596491	64.32748538	35.67251462	6.772908367	42.13333333	50	25.89473684	100		
CA-CS-2-168976576-168976687.13292.0	ABCB11	-	0	100	100	0	0	0.133333333	0	0	100		
CA-CA-7-87423905-87424052.424.0	ABCB4	ENST00000359206.7	0	100	100	0	3.027888446	10.66666667	0	10.52631579	100		
CA-CA-2-219217669-219217807.533.2	ABCB6	ENST00000452545.1	39.28571429	60.71428571	78.57142857	21.42857143	3.74501992	35.73333333	28.07017544	20.63157895	100		
CA-CA-2-219210380-219210475.6865.0	"ABCB6,ATG9A"	Augustus:g10059.t1	42.85714286	57.14285714	64.28571429	35.71428571	7.729083665	42.13333333	50	25.89473684	100		
CA-CA-X-75062327-75062431.665.0	ABCB7	ENST00000620875.4	45.40229885	54.59770115	64.36781609	35.63218391	7.80876494	42.13333333	50	25.89473684	100		
CA-CA-7-151040497-151040644.1367.1	ABCB8	ENST00000482899.1	47.78761062	52.21238938	69.91150442	30.08849558	7.569721116	41.73333333	49.12280702	25.05263158	100		
CA-CA-12-122940806-122940995.739.4	ABCB9	NM_019624.3	0	100	50	50	0.079681275	10.26666667	34.21052632	0	100		
CA-CS-16-16136477-16136644.10.0	ABCC1	ENST00000399410.7	45.71428571	54.28571429	64.57142857	35.42857143	7.888446215	42.13333333	50	25.89473684	100		
CA-CA-6-43437933-43438013.234.0	ABCC10	ENST00000372515.8	44.92753623	55.07246377	66.66666667	33.33333333	7.171314741	39.73333333	50	21.89473684	100		
CA-CS-21-14288403-14291747.1415.0	ABCC13	ENST00000481582.5	80	20	60	40	0.478087649	0.133333333	0.877192982	0	100		
CA-CA-10-99793550-99793685.561.0	ABCC2	ENST00000496621.1	43.1372549	56.8627451	68.62745098	31.37254902	1.992031873	6.133333333	0	8	100		
CA-CS-13-95247642-95247753.21.0	ABCC4	ENST00000376887.8	47.57281553	52.42718447	64.0776699	35.9223301	3.426294821	5.6	49.12280702	14.52631579	100		
CA-CA-3-183987769-183987917.207.1	ABCC5	NM_001023587.2	43.61702128	56.38297872	62.76595745	37.23404255	5.099601594	37.2	49.12280702	25.47368421	100		
CA-CA-16-16175910-16175986.257.0	ABCC6	ENST00000205557.11	47.05882353	52.94117647	58.82352941	41.17647059	0	1.466666667	0	5.052631579	100		
CA-CS-16-18575025-18575154.2140.0	ABCC6P1	ENST00000546162.6	33.33333333	66.66666667	0	100	0	0	0	0	100		
CA-CS-16-14821059-14821185.5127.0	ABCC6P2	ENST00000526069.1	0	100	33.33333333	66.66666667	0	0	0	0	100		
CA-CA-11-17412665-17412746.459.0	ABCC8	ENST00000531911.1	50	50	50	50	0	2	0	12	100		
CA-CS-12-21933781-21933923.2028.0	ABCC9	ENST00000621589.1	0	100	100	0	0.239043825	35.06666667	2.631578947	25.47368421	100		
CA-CA-X-153729231-153729412.161.0	ABCD1	ENST00000218104.5	44.84848485	55.15151515	65.45454545	34.54545455	7.64940239	42.13333333	49.12280702	25.89473684	100		
CA-CS-12-39603911-39604006.3626.0	ABCD2	XM_017018992.1	50	50	80	20	3.426294821	2.533333333	0	0	100		
CA-CA-1-94483169-94483239.397.0	ABCD3	XM_017001953.1	45.12195122	54.87804878	64.02439024	35.97560976	6.374501992	42.13333333	50	25.47368421	100		
CA-CA-14-74288206-74288259.674.0	ABCD4	NM_005050.3	45.61403509	54.38596491	64.9122807	35.0877193	7.80876494	42.13333333	50	25.89473684	100		
CA-CA-4-145105604-145105690.1744.0	ABCE1	NM_001040876.1	42.85714286	57.14285714	65.71428571	34.28571429	4.621513944	32.8	49.12280702	23.78947368	100		
CA-CA-6-30577817-30577913.423.2	ABCF1	ENST00000468958.1	35.71428571	64.28571429	67.85714286	32.14285714	3.74501992	27.73333333	39.47368421	17.47368421	100		
CA-CS-7-151223931-151224114.627.0	ABCF2	ENST00000441774.1	42.85714286	57.14285714	71.42857143	28.57142857	2.470119522	17.2	41.22807018	9.263157895	100		
CA-CS-3-184192804-184192896.707.0	ABCF3	ENST00000429586.6	45.71428571	54.28571429	64.57142857	35.42857143	7.888446215	42.13333333	50	25.89473684	100		
CA-CA-21-42294541-42294660.18.0	ABCG1	ENST00000361802.6	39.65517241	60.34482759	70.68965517	29.31034483	7.171314741	37.46666667	0	25.47368421	100		
CA-CA-4-88107183-88107266.1017.0	ABCG2	NM_001348986.1	42.85714286	57.14285714	71.42857143	28.57142857	0.398406375	20.53333333	0	0.210526316	100		
CA-CA-2-27129513-27129626.2928.0	ABHD1	ENST00000416071.1	50	50	50	50	0.15936255	1.733333333	4.385964912	17.68421053	100		
CA-CA-3-111986913-111987051.9222.3	ABHD10	ENST00000493784.1	39.13043478	60.86956522	72.46376812	27.53623188	5.258964143	36.26666667	47.36842105	17.68421053	100		
CA-CA-7-73736928-73737220.1.0	ABHD11	ENST00000412965.5	44.11764706	55.88235294	73.52941176	26.47058824	3.505976096	21.86666667	39.47368421	7.157894737	100		
CA-CA-20-25306832-25306915.116.0	ABHD12	NM_015600.4	45.71428571	54.28571429	64.57142857	35.42857143	7.80876494	42.13333333	50	25.89473684	100		
CA-CS-14-50901828-50901911.1026.0	ABHD12B	ENST00000337334.6	37.5	62.5	56.25	43.75	0	0.266666667	0	0	100		
CA-CA-3-51977870-51978082.6834.7	ABHD14A	ENST00000491470.1	30	70	53.33333333	46.66666667	1.434262948	7.6	17.54385965	4.842105263	100		
CA-CA-3-51986987-51987196.2001.0	ABHD14A-ACY1	ENST00000637512.1	36.36363636	63.63636364	45.45454545	54.54545455	0.876494024	12.66666667	18.42105263	5.052631579	100		
CA-CA-3-51987555-51987624.1612.1	"ABHD14A-ACY1,ACY1"	ENST00000635785.1	55.55555556	44.44444444	70.37037037	29.62962963	1.035856574	10.13333333	48.24561404	5.263157895	100		
CA-CA-3-51971459-51971698.5200.0	ABHD14B	ENST00000361143.9	45.29411765	54.70588235	64.70588235	35.29411765	7.888446215	42.13333333	50	25.89473684	100		
CA-CA-6-31687497-31687544.550.0	ABHD16A	ENST00000440843.2	22.22222222	77.77777778	55.55555556	44.44444444	1.992031873	18.4	33.33333333	1.684210526	100		
CA-CS-19-1879920-1880061.456.0	ABHD17A	ENST00000590661.1	39.50617284	60.49382716	75.30864198	24.69135802	6.533864542	28.93333333	39.47368421	10.73684211	100		
CA-CA-9-71866798-71867006.1841.0	ABHD17B	ENST00000377041.6	40.65934066	59.34065934	62.63736264	37.36263736	3.984063745	21.46666667	25.43859649	15.15789474	100		
CA-CS-15-80749512-80749692.586.2	ABHD17C	ENST00000559506.5	33.33333333	66.66666667	100	0	0	0.933333333	0	0.421052632	100		
CA-CS-4-128011672-128011700.296.0	ABHD18	NM_001319305.1	45.83333333	54.16666667	63.69047619	36.30952381	6.533864542	39.6	49.12280702	25.05263158	100		
CA-CA-15-89103902-89104044.2371.3	ABHD2	ENST00000569550.5	20	80	80	20	0.557768924	3.733333333	8.771929825	0.631578947	100		
CA-CA-18-21702315-21702498.24.6	ABHD3	ENST00000579875.5	46.2585034	53.7414966	64.62585034	35.37414966	6.772908367	28.8	48.24561404	12.84210526	100		
CA-CA-14-22603389-22603762.1608.0	ABHD4	ENST00000428304.6	44.84848485	55.15151515	64.24242424	35.75757576	7.888446215	42.13333333	49.12280702	25.89473684	100		
CA-CS-3-43718442-43718561.2186.0	ABHD5	ENST00000463153.1	41.17647059	58.82352941	67.64705882	32.35294118	5.657370518	12.93333333	49.12280702	6.526315789	100		
CA-CA-3-58274657-58274815.1544.0	ABHD6	NM_001320126.1	39.75903614	60.24096386	73.4939759	26.5060241	6.772908367	41.73333333	49.12280702	24.63157895	100		
CA-CA-19-17300855-17301624.3659.0	ABHD8	ENST00000247706.3	43.57142857	56.42857143	64.28571429	35.71428571	7.729083665	42.13333333	50	25.89473684	100		
CA-CA-10-26823137-26823305.555.0	ABI1	ENST00000376140.3	39.74358974	60.25641026	64.1025641	35.8974359	4.621513944	42.13333333	50	25.89473684	100		
CA-CA-2-203375931-203376132.287.0	ABI2	ENST00000261016.10	60	40	40	60	0	0.666666667	0.877192982	0	100		
CA-CA-3-100864832-100864907.543.0	ABI3BP	ENST00000483129.5	0	100	100	0	0	41.2	0	4.421052632	100		
CA-CA-9-130854063-130854237.618.1	ABL1	ENST00000318560.5	46.42857143	53.57142857	64.88095238	35.11904762	5.418326693	42	47.36842105	25.68421053	100		
CA-CA-1-179120189-179120274.1606.0	ABL2	-	45.57823129	54.42176871	63.94557823	36.05442177	3.74501992	38.53333333	49.12280702	12.42105263	100		
CA-CA-10-114545004-114545098.1053.0	ABLIM1	NM_001003407.1	31.37254902	68.62745098	72.54901961	27.45098039	0.3187251	40.4	0	25.89473684	100		
CA-CS-5-149252756-149252837.625.4	ABLIM3	NM_001301028.2	100	0	100	0	0.478087649	10.8	0	8.842105263	100		
CA-CA-9-133257408-133257542.369.0	ABO	ENST00000453660.3	41.46341463	58.53658537	73.17073171	26.82926829	0	2.666666667	45.61403509	2.105263158	100		
CA-CA-6-139034154-139034221.9843.0	ABRACL	ENST00000367660.3	45.71428571	54.28571429	64.57142857	35.42857143	7.888446215	42.13333333	50	23.36842105	100		
CA-CA-4-83476642-83476679.852.0	ABRAXAS1	-	46.25	53.75	63.125	36.875	6.294820717	42	50	25.68421053	100		
CA-CA-10-124826594-124826785.224.0	ABRAXAS2	Augustus:g2464.t2	45.66473988	54.33526012	64.16184971	35.83815029	7.569721116	42	50	25.47368421	100		
CA-CA-6-26597913-26598110.295.0	ABT1	ENST00000274849.2	45.71428571	54.28571429	64.57142857	35.42857143	7.888446215	42.13333333	50	25.89473684	100		
CA-CA-3-127677464-127677563.505.0	ABTB1	ENST00000497162.1	38.29787234	61.70212766	57.44680851	42.55319149	5.338645418	38	3.50877193	17.68421053	100		
CA-CA-11-34164685-34164821.299.0	ABTB2	-	48.33333333	51.66666667	68.33333333	31.66666667	3.824701195	41.46666667	0	25.26315789	100		
CA-CA-3-38127785-38127866.1217.0	ACAA1	XM_011533650.2	45.71428571	54.28571429	64.57142857	35.42857143	7.888446215	42.13333333	50	25.89473684	100		
CA-CS-18-49792151-49792327.216.0	ACAA2	ENST00000285093.14	45.40229885	54.59770115	64.36781609	35.63218391	7.80876494	42.13333333	50	25.89473684	100		
CA-CS-12-109179087-109179371.370.0	ACACB	ENST00000543080.1	50	50	56.66666667	43.33333333	0.15936255	11.73333333	6.140350877	20.42105263	100		
CA-CA-12-111733922-111734068.35.0	ACAD10	NM_001136538.1	46.10778443	53.89221557	63.47305389	36.52694611	7.171314741	40.26666667	49.12280702	24.84210526	100		
CA-CA-3-132644796-132644896.1373.0	ACAD11	ENST00000496418.5	44.02515723	55.97484277	65.40880503	34.59119497	5.418326693	42.13333333	43.85964912	25.68421053	100		
CA-CS-3-132628339-132628446.3167.0	"ACAD11,NPHP3-ACAD11"	ENST00000496418.5	44.31137725	55.68862275	64.67065868	35.32934132	5.896414343	42.13333333	49.12280702	25.89473684	100		
CA-CA-11-134259007-134259084.540.8	ACAD8	ENST00000534433.5	39.28571429	60.71428571	57.14285714	42.85714286	1.513944223	12.13333333	25.43859649	2.315789474	100		
CA-CA-3-128906120-128906249.433.0	ACAD9	NM_014049.4	45.66473988	54.33526012	64.73988439	35.26011561	7.888446215	42.13333333	49.12280702	25.89473684	100		
CA-CA-1-75728400-75728488.416.0	ACADM	ENST00000534334.5	0	100	100	0	0.239043825	1.333333333	0.877192982	0.631578947	100		
CA-CA-12-120737355-120737467.2401.0	ACADS	ENST00000242592.8	44.65408805	55.34591195	64.77987421	35.22012579	7.80876494	42.13333333	49.12280702	25.89473684	100		
CA-CA-10-123053060-123053160.830.0	ACADSB	ENST00000368869.8	0	100	100	0	0.557768924	1.6	0	2.105263158	100		
CA-CS-3-195295707-195295892.569.1	ACAP2	XM_017006046.1	42.10526316	57.89473684	73.68421053	26.31578947	4.143426295	0.266666667	38.59649123	1.052631579	100		
CA-CA-1-1298369-1298421.459.0	ACAP3	ENST00000354700.9	45.97701149	54.02298851	64.94252874	35.05747126	7.80876494	42.13333333	50	25.89473684	100		
CA-CA-11-108128642-108129201.483.0	ACAT1	ENST00000526119.1	100	0	0	100	0	0	0	0.421052632	100		
CA-CS-6-159762918-159763053.719.1	ACAT2	ENST00000467951.1	50	50	61.11111111	38.88888889	3.984063745	25.86666667	50	1.894736842	100		
CA-CA-1-226164788-226164929.1674.0	ACBD3	-	45.97701149	54.02298851	64.94252874	35.05747126	7.729083665	42.13333333	50	25.89473684	100		
CA-CA-10-27205197-27205248.205.0	ACBD5	ENST00000476758.1	50	50	100	0	0.478087649	0.266666667	0.877192982	0	100		
CA-CA-1-180281305-180281386.2717.0	ACBD6	ENST00000496993.5	44.21052632	55.78947368	63.15789474	36.84210526	5.577689243	18	41.22807018	2.315789474	100		
CA-CA-10-15078922-15079040.5686.0	ACBD7	NM_001039844.2	33.33333333	66.66666667	66.66666667	33.33333333	0.478087649	3.733333333	46.49122807	0.210526316	100		
CA-CA-11-44071255-44071315.454.0	ACCS	ENST00000524990.5	45.56962025	54.43037975	62.02531646	37.97468354	6.613545817	41.73333333	50	20.63157895	100		
CA-CA-16-67659536-67659613.32.0	ACD	ENST00000620761.4	45.34883721	54.65116279	64.53488372	35.46511628	7.888446215	42.13333333	50	25.89473684	100		
CA-CA-X-15571623-15571796.563.0	ACE2	ENST00000252519.7	0	100	100	0	0	6.666666667	0	3.578947368	100		
CA-CA-9-19424699-19424841.111.0	ACER2	XM_011517858.1	41.17647059	58.82352941	67.64705882	32.35294118	2.868525896	23.6	49.12280702	6.315789474	100		
CA-CA-11-76959076-76959200.1563.0	ACER3	NM_001300954.1	39.47368421	60.52631579	65.78947368	34.21052632	2.390438247	3.2	26.31578947	0.421052632	100		
CA-CA-7-100892333-100892818.482.0	ACHE	ENST00000241069.9	50	50	66.66666667	33.33333333	4.701195219	17.86666667	35.96491228	25.89473684	100		
CA-CA-14-23061297-23061622.764.0	ACIN1	ENST00000557515.5	45.71428571	54.28571429	64.57142857	35.42857143	7.888446215	42.13333333	50	25.89473684	100		
CA-CA-3-42851295-42851454.1916.0	ACKR2	ENST00000494619.1	100	0	0	100	0.079681275	9.066666667	0	1.473684211	100		
CA-CA-9-32430417-32430574.27.0	ACO1	ENST00000541043.5	42.95302013	57.04697987	63.08724832	36.91275168	5.338645418	42.13333333	50	25.89473684	100		
CA-CA-22-41511875-41511968.33.0	ACO2	ENST00000478010.1	45.71428571	54.28571429	64.57142857	35.42857143	7.80876494	42.13333333	50	25.89473684	100		
CA-CA-14-73541492-73541695.2697.0	ACOT1	ENST00000311148.8	46.15384615	53.84615385	92.30769231	7.692307692	1.354581673	34.13333333	0	21.89473684	100		
CA-CA-1-54594555-54594691.1479.0	ACOT11	-	46.66666667	53.33333333	64	36	0	34.93333333	17.54385965	16	100		
CA-CA-6-24697882-24698067.4897.1	ACOT13	ENST00000476436.1	43.30708661	56.69291339	62.99212598	37.00787402	5.657370518	37.86666667	50	25.26315789	100		
CA-CS-14-73569277-73569396.554.0	ACOT2	ENST00000538782.2	50	50	100	0	0.239043825	20.4	0	0.842105263	100		
CA-CA-14-73593701-73593904.5795.0	ACOT4	ENST00000326303.4	38.46153846	61.53846154	62.82051282	37.17948718	5.019920319	23.33333333	0	5.684210526	100		
CA-CA-1-6327298-6327413.1955.0	ACOT7	-	44.70588235	55.29411765	63.52941176	36.47058824	7.569721116	42.13333333	50	25.26315789	100		
CA-CA-20-45848449-45848675.573.3	ACOT8	ENST00000488679.5	42.85714286	57.14285714	60.20408163	39.79591837	7.330677291	39.86666667	42.98245614	16.42105263	100		
CA-CA-X-23705767-23705858.648.0	ACOT9	NM_001330259.1	45.67901235	54.32098765	66.66666667	33.33333333	7.80876494	42.13333333	50	25.89473684	100		
CA-CA-3-58530465-58530638.519.0	ACOX2	XM_017007302.1	50	50	100	0	0.079681275	42.13333333	0	24.21052632	100		
CA-CS-4-8389611-8389734.299.0	ACOX3	-	42.7672956	56.60377358	64.77987421	34.59119497	7.490039841	42.13333333	49.12280702	25.26315789	99.37106918		
CA-CA-2-272191-272305.422.1	ACP1	ENST00000405364.2	46.15384615	53.84615385	53.84615385	46.15384615	2.709163347	7.333333333	49.12280702	2.315789474	100		
CA-CA-11-47243017-47243124.29.0	ACP2	ENST00000529663.5	50	50	100	0	0.478087649	0.8	2.631578947	0	100		
CA-CA-19-11576242-11576588.2154.0	ACP5	ENST00000433365.2	46.66666667	53.33333333	62.96296296	37.03703704	7.729083665	32.8	48.24561404	7.578947368	100		
CA-CS-1-147652591-147652647.1468.0	ACP6	ENST00000487562.5	42.10526316	57.89473684	67.36842105	32.63157895	5.577689243	38.53333333	7.01754386	17.47368421	100		
CA-CS-3-132332191-132332344.1735.3	ACPP	ENST00000493235.5	39.18918919	60.81081081	67.56756757	32.43243243	2.948207171	0.266666667	0	0	100		
CA-CA-12-6646482-6646577.1060.0	ACRBP	ENST00000229243.6	44.44444444	55.55555556	67.67676768	32.32323232	6.932270916	20.4	0	1.473684211	100		
CA-CS-15-78180754-78180936.971.0	ACSBG1	ENST00000558728.1	27.27272727	72.72727273	72.72727273	27.27272727	0.637450199	0.266666667	17.54385965	0.210526316	100		
CA-CA-16-89095194-89095303.1751.0	ACSF3	ENST00000541755.2	0	100	0	100	0.079681275	0.666666667	0	0	100		
CA-CA-4-184765890-184765986.130.0	ACSL1	-	45.16129032	54.83870968	64.51612903	35.48387097	7.091633466	28.4	19.29824561	25.26315789	100		
CA-CS-2-222924455-222924595.1221.0	ACSL3	ENST00000421680.2	0	100	100	0	0.079681275	0.533333333	1.754385965	0.210526316	100		
CA-CA-X-109696143-109696196.1991.1	ACSL4	ENST00000469796.6	41.66666667	58.33333333	66.66666667	33.33333333	2.071713147	17.33333333	7.894736842	8	100		
CA-CA-10-112409506-112409685.1033.0	ACSL5	ENST00000393081.5	45.97701149	54.02298851	64.36781609	35.63218391	7.888446215	37.06666667	34.21052632	13.68421053	100		
CA-CA-5-131989406-131989508.202.0	ACSL6	-	54.54545455	45.45454545	54.54545455	45.45454545	1.593625498	0	3.50877193	8.421052632	100		
CA-CA-16-20640460-20640584.482.0	ACSM1	XM_011545731.2	75	25	25	75	0.15936255	10.13333333	45.61403509	0	100		
CA-CA-16-20792001-20792129.427.0	ACSM3	-	46.61654135	53.38345865	64.66165414	35.33834586	4.143426295	14.13333333	50	1.684210526	100		
CA-CA-16-20427787-20427867.4275.0	ACSM5	ENST00000570305.5	0	100	100	0	0.079681275	22.93333333	0	25.26315789	100		
CA-CA-10-95214851-95214975.3168.0	ACSM6	ENST00000341686.7	0	100	100	0	0	0.133333333	0	0	100		
CA-CS-20-25012856-25012939.224.1	ACSS1	ENST00000432802.6	46.92307692	53.07692308	66.92307692	33.07692308	4.780876494	28.66666667	0	19.36842105	100		
CA-CA-20-34921543-34921600.206.0	ACSS2	ENST00000481284.5	45.34883721	54.65116279	63.95348837	36.04651163	7.729083665	42.13333333	50	25.89473684	100		
CA-CA-10-88947257-88947386.1391.0	ACTA2	Augustus:g2204.t2	44.44444444	55.55555556	63.58024691	36.41975309	7.888446215	42.13333333	48.24561404	25.89473684	100		
CA-CA-7-5529018-5529059.1948.0	ACTB	ENST00000425660.5	54.54545455	45.45454545	81.81818182	18.18181818	5.019920319	42	25.43859649	25.89473684	100		
CA-CA-2-73902359-73902488.3718.0	ACTG2	NM_001615.3	66.66666667	33.33333333	100	0	5.418326693	42.13333333	34.21052632	25.47368421	100		
CA-CA-3-179574369-179574467.467.1	ACTL6A	ENST00000487978.5	35.29411765	64.70588235	52.94117647	47.05882353	1.912350598	10.8	32.45614035	3.368421053	100		
CA-CS-1-17822984-17823356.5660.0	ACTL8	ENST00000375406.1	33.33333333	66.66666667	66.66666667	33.33333333	0	0	31.57894737	0	100		
CA-CA-14-68925557-68925672.56.6	ACTN1	ENST00000555616.5	46.66666667	53.33333333	73.33333333	26.66666667	1.912350598	20.8	27.19298246	1.263157895	100		
CA-CA-1-236761014-236761173.9081.0	ACTN2	ENST00000461367.1	100	0	0	100	2.390438247	42	21.92982456	25.89473684	100		
CA-CA-19-38708116-38708195.335.0	ACTN4	ENST00000495553.1	37.5	62.5	75	25	0.079681275	6.266666667	1.754385965	1.473684211	100		
CA-CA-14-58202854-58202927.100.0	ACTR10	ENST00000554402.6	37.5	62.5	75	25	1.035856574	12.8	11.40350877	5.473684211	100		
CA-CA-10-102489062-102489138.88.0	ACTR1A	Augustus:g2333.t2	45.71428571	54.28571429	64.57142857	35.42857143	7.888446215	42.13333333	50	25.89473684	100		
CA-CS-2-97658223-97658316.246.0	ACTR1B	NM_005735.3	45.71428571	54.28571429	64.57142857	35.42857143	7.888446215	42.13333333	50	25.89473684	100		
CA-CS-2-65239851-65239962.4793.2	ACTR2	ENST00000471552.5	42.85714286	57.14285714	71.42857143	28.57142857	1.434262948	2.533333333	14.03508772	0.421052632	100		
CA-CA-2-113955622-113955706.1987.0	ACTR3	ENST00000535589.3	29.41176471	70.58823529	58.82352941	41.17647059	1.195219124	12.13333333	24.56140351	2.105263158	100		
CA-CA-7-152852125-152852251.899.0	ACTR3B	ENST00000256001.12	47.87234043	52.12765957	60.63829787	39.36170213	6.533864542	41.86666667	49.12280702	25.89473684	100		
CA-CA-7-150286366-150286540.2276.0	ACTR3C	-	38.70967742	61.29032258	75.80645161	24.19354839	4.541832669	5.6	50	6.315789474	100		
CA-CA-20-38752130-38752300.57.0	ACTR5	ENST00000243903.5	45.56962025	54.43037975	63.29113924	36.70886076	6.932270916	42.13333333	49.12280702	25.47368421	100		
CA-CA-12-100220007-100220146.904.4	ACTR6	ENST00000553038.5	0	100	0	100	0.15936255	0.266666667	5.263157895	0	100		
CA-CS-3-53872383-53872524.1444.0	ACTR8	-	45.93023256	54.06976744	65.11627907	34.88372093	7.80876494	42.13333333	50	25.68421053	100		
CA-CA-2-157765920-157766196.624.0	ACVR1	-	44.44444444	55.55555556	68.62745098	31.37254902	3.824701195	42.13333333	50	25.89473684	100		
CA-CA-12-51980968-51981199.658.1	ACVR1B	NM_020328.3	69.23076923	30.76923077	69.23076923	30.76923077	0.796812749	6.8	21.92982456	3.368421053	100		
CA-CA-2-147920229-147920344.481.0	ACVR2A	ENST00000241416.11	75	25	100	0	0.956175299	40.93333333	42.10526316	25.26315789	100		
CA-CS-3-38478140-38478518.1405.0	ACVR2B	-	14.28571429	85.71428571	71.42857143	28.57142857	0.239043825	0.4	22.80701754	0.842105263	100		
CA-CA-12-51915224-51915500.1720.0	ACVRL1	ENST00000388922.8	38.88888889	61.11111111	72.22222222	27.77777778	3.027888446	42.13333333	35.96491228	25.89473684	100		
CA-CA-3-51987555-51987624.1612.6	ACY1	ENST00000637149.1	41.66666667	58.33333333	91.66666667	8.333333333	1.115537849	14.13333333	19.29824561	4	100		
CA-CA-3-51986254-51986331.1196.0	"ACY1,ABHD14A-ACY1"	NM_001316331.1	44.9704142	55.0295858	65.68047337	34.31952663	7.410358566	42.13333333	50	25.89473684	100		
